date,实际,预测
3/21/2011,2390707.73,2341728.76
3/28/2011,3198523.96,2990945.15
4/4/2011,1036955.94,1074536.54
4/11/2011,2328418.87,2175784.83
4/18/2011,2968596.97,2738990.56
4/25/2011,5919129.78,5348357.17
5/2/2011,417441.63,684675.31
5/9/2011,2488025.54,2475121.39
5/16/2011,2775940.04,2485041.70
5/23/2011,3074030.12,2758230.75
5/30/2011,3070036.47,2897909.00
6/6/2011,2300414.77,2039264.99
6/13/2011,2672433.40,2269567.86
6/20/2011,2806082.67,2691744.35
6/27/2011,4834073.28,4914005.74
7/4/2011,1768071.57,1925507.25
7/11/2011,3911376.83,3493798.16
7/18/2011,3707617.33,4333993.67
7/25/2011,3682859.33,4078745.40
8/1/2011,2055027.94,1918396.04
8/8/2011,2167532.54,2220182.59
8/15/2011,2225294.89,2895881.17
8/22/2011,3115810.91,3108031.11
8/29/2011,4202121.19,3434218.68
9/5/2011,1921660.09,1960676.26
9/12/2011,2192822.31,1795151.54
9/19/2011,2102631.05,2697942.49
9/26/2011,3969298.75,4411829.44
10/3/2011,807824.41,796115.85
10/10/2011,2140178.94,2059348.03
10/17/2011,2198970.82,2212425.54
10/24/2011,2918557.37,2949068.75
10/31/2011,2970675.72,2779829.08
11/7/2011,1855565.39,1936901.33
11/14/2011,2438027.82,2335414.62
11/21/2011,2034987.02,2164933.06
11/28/2011,3183526.17,3361507.19
12/5/2011,1647550.17,1652335.00
12/12/2011,2599942.79,2696324.21
12/19/2011,1982759.26,2119307.62
12/26/2011,5664334.67,5253473.32
1/2/2012,474871.73,475394.37
1/9/2012,1777111.76,1764362.51
1/16/2012,2343837.26,2374743.52
1/23/2012,2376406.43,2495001.78
1/30/2012,3200443.65,3003533.54
2/6/2012,1996886.95,2266619.34
2/13/2012,2787902.28,3101821.26
2/20/2012,3658632.49,3396649.29
2/27/2012,5270838.42,5222046.85
3/5/2012,2219960.59,2672700.65
3/12/2012,4541191.59,4737878.41
3/19/2012,2958816.75,3047706.81
3/26/2012,6212661.84,5808889.65
4/2/2012,813336.34,914104.34
4/9/2012,2075888.89,2009908.99
4/16/2012,3070957.62,3051671.40
4/23/2012,3212307.23,3295603.94
4/30/2012,3916073.30,3353784.61
5/7/2012,2992141.77,3279822.95
5/14/2012,3215199.61,3002332.37
5/21/2012,3616437.56,3257595.81
5/28/2012,5437880.89,5037396.81
6/4/2012,1854081.53,2638971.99
6/11/2012,2314953.13,2470917.26
6/18/2012,3221958.62,3044660.63
6/25/2012,6621947.04,6173645.10
7/2/2012,1019170.89,1032919.69
7/9/2012,2410874.25,2738716.67
7/16/2012,2641612.28,2923230.80
7/23/2012,2695245.90,2828904.24
7/30/2012,3804138.08,3568300.54
8/6/2012,2699831.71,2456627.42
8/13/2012,2879421.60,2631593.20
8/20/2012,2719612.60,2677515.85
8/27/2012,5258729.42,4771637.04
9/3/2012,1804691.10,2099479.47
9/10/2012,2630803.84,2142105.97
9/17/2012,1962049.21,2095913.39
9/24/2012,3441782.28,3586186.72
10/1/2012,2250583.33,2081293.22
10/8/2012,1889834.85,2322837.37
10/15/2012,1882478.84,2092353.36
10/22/2012,2901388.58,2522346.05
10/29/2012,3685806.80,3331722.52
11/5/2012,1237000.43,1293678.15
11/12/2012,1802707.03,1911311.09
11/19/2012,1954412.12,2002085.61
11/26/2012,5003759.06,4574463.58
12/3/2012,1262746.92,1219925.07
12/10/2012,2209330.31,2402931.48
12/17/2012,2009507.05,2094446.76
12/24/2012,1973067.51,2294670.92
12/31/2012,3713182.93,3459380.21
1/7/2013,2009105.19,1814099.94
1/14/2013,2364554.05,2110425.20
1/21/2013,2672700.65,2466966.95
1/28/2013,3442470.71,3604522.99
2/4/2013,1683356.04,1700614.14
2/11/2013,2486781.84,2689860.79
2/18/2013,2530177.46,2467460.40
2/25/2013,4407860.58,4403014.60
3/4/2013,1952068.23,1921467.93
3/11/2013,3084499.61,2781219.34
3/18/2013,3194049.16,2727783.68
3/25/2013,4344407.74,4298600.23
4/1/2013,2068635.98,2011517.56
4/8/2013,2148541.93,2333313.69
4/15/2013,2346182.27,2214196.19
4/22/2013,2254863.51,2442908.76
4/29/2013,3752752.02,3173672.52
5/6/2013,2041101.15,2264353.85
5/13/2013,2130143.70,2221070.84
5/20/2013,2709839.59,2707401.83
5/27/2013,4693081.68,4686515.97
6/3/2013,1847788.36,1973659.52
6/10/2013,2384976.91,2216854.82
6/17/2013,2781497.47,2674839.67
6/24/2013,3755755.42,3555477.75
