date,sales
8/6/2012,2699950
8/13/2012,2879551
8/20/2012,2719745
8/27/2012,5258899
9/3/2012,1804752
9/10/2012,2630877
9/17/2012,1962121
9/24/2012,3441782
10/1/2012,2250500
10/8/2012,1889899
10/15/2012,1882478
10/22/2012,2901318
10/29/2012,3685869
11/5/2012,1237016
11/12/2012,1802620
11/19/2012,1954365
11/26/2012,5004007
12/3/2012,1262687
12/10/2012,2209359
12/17/2012,2009457
12/24/2012,1972999
12/31/2012,3713082
1/7/2013,2009085
1/14/2013,2364486
1/21/2013,2672817
1/28/2013,3442368
2/4/2013,1683390
2/11/2013,2486844
2/18/2013,2530297
2/25/2013,4407698
3/4/2013,1952022
3/11/2013,3084523
3/18/2013,3194113
3/25/2013,4344194
4/1/2013,2068685
4/8/2013,2148551
4/15/2013,2346233
4/22/2013,2254894
4/29/2013,3752790
5/6/2013,2041082
5/13/2013,2130177
5/20/2013,2709779
5/27/2013,4693178
6/3/2013,1847760
6/10/2013,2384907
6/17/2013,2781536
6/24/2013,3755585
