date,bau,cable,leads,dm,newspaper,radio,tv15,tv30,digital
1/3/2011,678640,5760,8923,1640,0,0,12445,2200,1706
1/10/2011,1381493,9720,8923,1640,0,0,17390,2000,2592
1/17/2011,1597156,9652,8923,1640,0,0,2250,32305,2971
1/24/2011,1991544,9800,8923,1640,0,0,12350,36110,4366
1/31/2011,1615549,9800,8923,1640,0,0,9300,29400,4373
2/7/2011,843985,12480,11229,2051,0,10590,30100,32470,8614
2/14/2011,1228582,10920,11229,2051,0,0,25720,38380,5918
2/21/2011,2122379,10920,11229,2051,0,0,18425,64645,5791
2/28/2011,3016434,6006,11229,2051,0,0,23825,35880,3363
3/7/2011,2342931,8316,11486,2051,0,0,20625,53115,9192
3/14/2011,1773596,11340,11486,2051,0,0,24550,89960,6256
3/21/2011,2282671,11340,11486,2051,0,0,18300,59330,5619
3/28/2011,3060216,7560,11486,2051,0,0,47750,66705,2679
4/4/2011,946139,11286,11786,2051,0,0,15500,45450,4713
4/11/2011,2180616,11876,11786,2051,0,0,47550,67920,6586
4/18/2011,2845495,12654,11786,2051,0,0,35550,53990,6955
4/25/2011,5780247,14193,11786,2051,0,0,36134,67685,6872
5/2/2011,307679,10579,10249,1656,5446,0,43173,33080,5567
5/9/2011,2387237,11622,10249,1656,5446,0,32220,32975,6565
5/16/2011,2659887,12516,10249,1656,5446,0,43485,35665,7101
5/23/2011,2977094,10728,10249,1656,5446,0,17050,45455,6503
5/30/2011,2980968,12218,10249,1656,6988,0,14550,36355,6908
6/6/2011,2213727,10472,12661,2071,6988,0,20250,24100,10215
6/13/2011,2563957,10393,12661,2071,6988,0,28125,38540,9757
6/20/2011,2704785,10540,12661,2071,6988,0,18450,39195,11386
6/27/2011,4730473,11832,12661,2071,0,0,21075,39620,16566
7/4/2011,1636964,11392,12661,2071,5600,0,31975,60390,6997
7/11/2011,3806878,11289,12661,2071,5600,15750,24630,26175,6318
7/18/2011,3586408,11136,12661,2071,5600,17640,36710,28275,7162
7/25/2011,3583657,11776,12661,2071,5600,0,32575,26205,8323
8/1/2011,1966422,9594,10129,1653,0,0,29470,28510,9245
8/8/2011,2051204,8364,10129,1653,0,0,31605,54295,10236
8/15/2011,2103009,8610,10129,1653,0,17490,36675,38370,9403
8/22/2011,3069022,8979,10129,1653,5976,0,8250,3310,8398
8/29/2011,4129010,9225,10129,1653,0,0,24100,23950,4185
9/5/2011,1831582,10108,12809,1917,1500,3600,26975,22990,10177
9/12/2011,2095287,10223,12809,16767,0,5875,14750,27915,9303
9/19/2011,1958867,10906,12809,34706,0,5875,35025,35240,9207
9/26/2011,3851413,9310,12809,28028,0,2275,27100,28170,10144
10/3/2011,691268,7848,8417,16044,0,2275,45125,27180,9649
10/10/2011,2079585,7412,8417,1533,4000,3600,14950,13000,7631
10/17/2011,2083297,7194,8417,19309,0,5875,28410,37320,9170
10/24/2011,2759884,7423,8417,92072,0,5875,23565,12855,8448
10/31/2011,2885341,8611,8417,20096,0,2275,27165,12985,5780
11/7/2011,1758770,9234,10783,6955,0,5875,29495,19960,14523
11/14/2011,2274550,9120,10783,78294,0,5875,28395,18660,12229
11/21/2011,1859042,9348,10783,76071,16478,5875,25605,18245,13634
11/28/2011,3117696,9462,10783,1917,0,5875,15235,11470,11214
12/5/2011,1510116,11172,10920,56658,0,7767,25390,11420,14131
12/12/2011,2410256,11172,10920,74376,0,7767,28075,44250,13179
12/19/2011,1859754,11172,10920,1917,0,4221,31210,45210,18299
12/26/2011,5530196,4389,10920,1917,0,4194,48870,45845,17791
1/2/2012,369507,8814,6756,17829,0,5121,22440,29960,14467
1/9/2012,1651447,8136,6756,1538,0,5223,53520,32710,17746
1/16/2012,2178542,8588,6756,63873,0,5223,24090,40220,16473
1/23/2012,2194825,7232,6756,63740,0,5250,33155,48850,16686
1/30/2012,2989422,0,6756,68790,0,2000,45590,72535,15453
2/6/2012,1768685,0,7945,107425,0,2975,31780,56035,21982
